FK_NAME	schema_name	table	column	referenced_schema	referenced_table	referenced_column
FK_Customer_Person_PersonID	Sales	Customer	PersonID	Person	Person	BusinessEntityID
FK_EmailAddress_Person_BusinessEntityID	Person	EmailAddress	BusinessEntityID	Person	Person	BusinessEntityID
FK_Employee_Person_BusinessEntityID	HumanResources	Employee	BusinessEntityID	Person	Person	BusinessEntityID
FK_Password_Person_BusinessEntityID	Person	Password	BusinessEntityID	Person	Person	BusinessEntityID
FK_PersonCreditCard_Person_BusinessEntityID	Sales	PersonCreditCard	BusinessEntityID	Person	Person	BusinessEntityID
FK_PersonPhone_Person_BusinessEntityID	Person	PersonPhone	BusinessEntityID	Person	Person	BusinessEntityID
FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID	Sales	SalesOrderHeaderSalesReason	SalesReasonID	Sales	SalesReason	SalesReasonID
FK_Customer_SalesTerritory_TerritoryID	Sales	Customer	TerritoryID	Sales	SalesTerritory	TerritoryID
FK_SalesOrderHeader_SalesTerritory_TerritoryID	Sales	SalesOrderHeader	TerritoryID	Sales	SalesTerritory	TerritoryID
FK_SalesPerson_SalesTerritory_TerritoryID	Sales	SalesPerson	TerritoryID	Sales	SalesTerritory	TerritoryID
FK_SalesTerritoryHistory_SalesTerritory_TerritoryID	Sales	SalesTerritoryHistory	TerritoryID	Sales	SalesTerritory	TerritoryID
FK_StateProvince_SalesTerritory_TerritoryID	Person	StateProvince	TerritoryID	Sales	SalesTerritory	TerritoryID
FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID	Person	PersonPhone	PhoneNumberTypeID	Person	PhoneNumberType	PhoneNumberTypeID
FK_BillOfMaterials_Product_ProductAssemblyID	Production	BillOfMaterials	ProductAssemblyID	Production	Product	ProductID
FK_BillOfMaterials_Product_ComponentID	Production	BillOfMaterials	ComponentID	Production	Product	ProductID
FK_ProductCostHistory_Product_ProductID	Production	ProductCostHistory	ProductID	Production	Product	ProductID
FK_ProductDocument_Product_ProductID	Production	ProductDocument	ProductID	Production	Product	ProductID
FK_ProductInventory_Product_ProductID	Production	ProductInventory	ProductID	Production	Product	ProductID
FK_ProductListPriceHistory_Product_ProductID	Production	ProductListPriceHistory	ProductID	Production	Product	ProductID
FK_ProductProductPhoto_Product_ProductID	Production	ProductProductPhoto	ProductID	Production	Product	ProductID
FK_ProductReview_Product_ProductID	Production	ProductReview	ProductID	Production	Product	ProductID
FK_ProductVendor_Product_ProductID	Purchasing	ProductVendor	ProductID	Production	Product	ProductID
FK_PurchaseOrderDetail_Product_ProductID	Purchasing	PurchaseOrderDetail	ProductID	Production	Product	ProductID
FK_ShoppingCartItem_Product_ProductID	Sales	ShoppingCartItem	ProductID	Production	Product	ProductID
FK_SpecialOfferProduct_Product_ProductID	Sales	SpecialOfferProduct	ProductID	Production	Product	ProductID
FK_TransactionHistory_Product_ProductID	Production	TransactionHistory	ProductID	Production	Product	ProductID
FK_WorkOrder_Product_ProductID Production WorkOrder ProductID Production Product ProductID
